,Unnamed: 0,FoodID,NutrientID,NutrientValue,NutrientCode,NutrientSymbol,NutrientUnit,NutrientName,Tagname,need,NutrientGroup,dv
14057,14057,186,291,39.8,291.0,TDF,g,"FIBRE, TOTAL DIETARY",FIBTG,30.0,2.0,1.3266666666666669
14058,14058,186,301,1196.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,1.196
14059,14059,186,303,18.54,303.0,FE,mg,IRON,FE,8.0,3.0,2.3175
14060,14060,186,304,385.0,304.0,MG,mg,MAGNESIUM,MG,360.0,3.0,1.0694444444444444
14065,14065,186,312,1.067,312.0,CU,mg,COPPER,CU,0.9,3.0,1.1855555555555557
14066,14066,186,315,6.533,315.0,MN,mg,MANGANESE,MN,3.0,3.0,2.177666666666666
14120,14120,187,208,323.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,161.5
14126,14126,187,291,24.6,291.0,TDF,g,"FIBRE, TOTAL DIETARY",FIBTG,30.0,2.0,0.8200000000000001
14128,14128,187,303,33.53,303.0,FE,mg,IRON,FE,8.0,3.0,4.19125
14134,14134,187,312,1.11,312.0,CU,mg,COPPER,CU,0.9,3.0,1.2333333333333334
14187,14187,188,208,331.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,165.5
14202,14202,188,303,5.65,303.0,FE,mg,IRON,FE,8.0,3.0,0.70625
14208,14208,188,312,0.533,312.0,CU,mg,COPPER,CU,0.9,3.0,0.5922222222222222
14222,14222,188,415,1.654,415.0,B6,mg,VITAMIN B-6,VITB6A,1.3,1.0,1.272307692307692
14308,14308,189,208,335.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,167.5
14323,14323,189,303,19.8,303.0,FE,mg,IRON,FE,8.0,3.0,2.475
14324,14324,189,304,214.0,304.0,MG,mg,MAGNESIUM,MG,360.0,3.0,0.5944444444444444
14330,14330,189,315,33.3,315.0,MN,mg,MANGANESE,MN,3.0,3.0,11.1
14331,14331,189,317,55.8,317.0,SE,µg,SELENIUM,SE,55.0,3.0,1.0145454545454544
14431,14431,190,208,475.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,237.5
14437,14437,190,291,20.2,291.0,TDF,g,"FIBRE, TOTAL DIETARY",FIBTG,30.0,2.0,0.6733333333333333
14439,14439,190,303,13.9,303.0,FE,mg,IRON,FE,8.0,3.0,1.7375
14445,14445,190,312,2.467,312.0,CU,mg,COPPER,CU,0.9,3.0,2.741111111111111
14499,14499,191,208,272.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,136.0
14506,14506,191,291,40.3,291.0,TDF,g,"FIBRE, TOTAL DIETARY",FIBTG,30.0,2.0,1.3433333333333333
14507,14507,191,301,1990.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,1.99
14508,14508,191,303,82.71,303.0,FE,mg,IRON,FE,8.0,3.0,10.33875
14509,14509,191,304,346.0,304.0,MG,mg,MAGNESIUM,MG,360.0,3.0,0.9611111111111112
14514,14514,191,312,1.133,312.0,CU,mg,COPPER,CU,0.9,3.0,1.258888888888889
14515,14515,191,315,5.433,315.0,MN,mg,MANGANESE,MN,3.0,3.0,1.811
14522,14522,191,401,51.4,401.0,VITC,mg,VITAMIN C,VITC,90.0,1.0,0.5711111111111111
14527,14527,191,415,1.19,415.0,B6,mg,VITAMIN B-6,VITB6A,1.3,1.0,0.9153846153846154
14530,14530,191,430,621.7,430.0,VITK,µg,VITAMIN K,VITK,120.0,1.0,5.180833333333334
14575,14575,192,208,508.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,254.0
14590,14590,192,303,9.21,303.0,FE,mg,IRON,FE,8.0,3.0,1.15125
14591,14591,192,304,370.0,304.0,MG,mg,MAGNESIUM,MG,360.0,3.0,1.0277777777777777
14595,14595,192,309,6.08,309.0,ZN,mg,ZINC,ZN,9.0,3.0,0.6755555555555556
14596,14596,192,312,0.645,312.0,CU,mg,COPPER,CU,0.9,3.0,0.7166666666666667
14597,14597,192,315,2.448,315.0,MN,mg,MANGANESE,MN,3.0,3.0,0.816
14598,14598,192,317,208.1,317.0,SE,µg,SELENIUM,SE,55.0,3.0,3.783636363636364
14692,14692,193,204,36.31,204.0,FAT,g,FAT (TOTAL LIPIDS),FAT,66.0,2.0,0.5501515151515152
14695,14695,193,208,525.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,262.5
14702,14702,193,291,20.8,291.0,TDF,g,"FIBRE, TOTAL DIETARY",FIBTG,30.0,2.0,0.6933333333333334
14710,14710,193,312,1.027,312.0,CU,mg,COPPER,CU,0.9,3.0,1.141111111111111
14711,14711,193,315,2.9,315.0,MN,mg,MANGANESE,MN,3.0,3.0,0.9666666666666668
14774,14774,194,208,342.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,171.0
14795,14795,194,312,0.59,312.0,CU,mg,COPPER,CU,0.9,3.0,0.6555555555555556
14809,14809,194,415,0.718,415.0,B6,mg,VITAMIN B-6,VITB6A,1.3,1.0,0.5523076923076923
14892,14892,195,208,265.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,132.5
14905,14905,195,291,42.5,291.0,TDF,g,"FIBRE, TOTAL DIETARY",FIBTG,30.0,2.0,1.4166666666666667
14906,14906,195,301,1597.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,1.597
14907,14907,195,303,36.8,303.0,FE,mg,IRON,FE,8.0,3.0,4.6
14908,14908,195,304,270.0,304.0,MG,mg,MAGNESIUM,MG,360.0,3.0,0.75
14913,14913,195,312,0.633,312.0,CU,mg,COPPER,CU,0.9,3.0,0.7033333333333334
14914,14914,195,315,4.99,315.0,MN,mg,MANGANESE,MN,3.0,3.0,1.663333333333333
14927,14927,195,415,1.044,415.0,B6,mg,VITAMIN B-6,VITB6A,1.3,1.0,0.8030769230769231
14930,14930,195,430,621.7,430.0,VITK,µg,VITAMIN K,VITK,120.0,1.0,5.180833333333334
15009,15009,196,208,282.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,141.0
15022,15022,196,291,34.9,291.0,TDF,g,"FIBRE, TOTAL DIETARY",FIBTG,30.0,2.0,1.163333333333333
15024,15024,196,303,21.14,303.0,FE,mg,IRON,FE,8.0,3.0,2.6425
15030,15030,196,312,0.713,312.0,CU,mg,COPPER,CU,0.9,3.0,0.7922222222222222
15044,15044,196,415,2.141,415.0,B6,mg,VITAMIN B-6,VITB6A,1.3,1.0,1.646923076923077
15047,15047,196,430,80.3,430.0,VITK,µg,VITAMIN K,VITK,120.0,1.0,0.6691666666666667
15131,15131,197,208,276.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,138.0
15144,15144,197,291,30.4,291.0,TDF,g,"FIBRE, TOTAL DIETARY",FIBTG,30.0,2.0,1.0133333333333332
15145,15145,197,301,1468.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,1.468
15146,15146,197,303,97.86,303.0,FE,mg,IRON,FE,8.0,3.0,12.2325
15147,15147,197,304,249.0,304.0,MG,mg,MAGNESIUM,MG,360.0,3.0,0.6916666666666667
15149,15149,197,306,3805.0,306.0,K,mg,POTASSIUM,K,4700.0,3.0,0.8095744680851064
15152,15152,197,312,0.64,312.0,CU,mg,COPPER,CU,0.9,3.0,0.7111111111111111
15153,15153,197,315,10.5,315.0,MN,mg,MANGANESE,MN,3.0,3.0,3.5
15160,15160,197,401,122.0,401.0,VITC,mg,VITAMIN C,VITC,90.0,1.0,1.3555555555555556
15165,15165,197,415,1.002,415.0,B6,mg,VITAMIN B-6,VITB6A,1.3,1.0,0.7707692307692308
15168,15168,197,430,1359.5,430.0,VITK,µg,VITAMIN K,VITK,120.0,1.0,11.329166666666667
15228,15228,198,208,251.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,125.5
15241,15241,198,291,25.3,291.0,TDF,g,"FIBRE, TOTAL DIETARY",FIBTG,30.0,2.0,0.8433333333333334
15243,15243,198,303,9.71,303.0,FE,mg,IRON,FE,8.0,3.0,1.21375
15249,15249,198,312,1.33,312.0,CU,mg,COPPER,CU,0.9,3.0,1.477777777777778
15250,15250,198,315,12.753,315.0,MN,mg,MANGANESE,MN,3.0,3.0,4.251
15266,15266,198,430,163.7,430.0,VITK,µg,VITAMIN K,VITK,120.0,1.0,1.3641666666666663
15350,15350,199,208,318.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,159.0
